2021/12/07 11:19:01 [emerg] 1#0: host not found in upstream "php-fpm" in /etc/nginx/sites-enabled/default:12
2021/12/07 13:08:24 [error] 8#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.28.0.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://172.28.0.2:9000", host: "127.0.0.1"
2021/12/07 13:08:30 [error] 8#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.28.0.1, server: , request: "GET /write_file.php HTTP/1.1", upstream: "fastcgi://172.28.0.2:9000", host: "127.0.0.1"
2021/12/07 13:08:33 [error] 8#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.28.0.1, server: , request: "GET /write_file.php HTTP/1.1", upstream: "fastcgi://172.28.0.2:9000", host: "127.0.0.1"
2021/12/07 13:08:35 [error] 8#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.28.0.1, server: , request: "GET /write_file.php HTTP/1.1", upstream: "fastcgi://172.28.0.2:9000", host: "127.0.0.1"
2021/12/07 13:08:35 [error] 8#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.28.0.1, server: , request: "GET /write_file.php HTTP/1.1", upstream: "fastcgi://172.28.0.2:9000", host: "127.0.0.1"
2021/12/07 13:08:36 [error] 8#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.28.0.1, server: , request: "GET /write_file.php HTTP/1.1", upstream: "fastcgi://172.28.0.2:9000", host: "127.0.0.1"
2021/12/07 13:08:36 [error] 8#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.28.0.1, server: , request: "GET /write_file.php HTTP/1.1", upstream: "fastcgi://172.28.0.2:9000", host: "127.0.0.1"
2021/12/07 13:08:36 [error] 8#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.28.0.1, server: , request: "GET /write_file.php HTTP/1.1", upstream: "fastcgi://172.28.0.2:9000", host: "127.0.0.1"
2021/12/07 13:08:37 [error] 8#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.28.0.1, server: , request: "GET /write_file.php HTTP/1.1", upstream: "fastcgi://172.28.0.2:9000", host: "127.0.0.1"
2021/12/07 13:08:41 [error] 8#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.28.0.1, server: , request: "GET //write_file.php HTTP/1.1", upstream: "fastcgi://172.28.0.2:9000", host: "127.0.0.1"
2021/12/07 13:09:03 [error] 8#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.28.0.1, server: , request: "GET /check.php HTTP/1.1", upstream: "fastcgi://172.28.0.2:9000", host: "127.0.0.1"
2021/12/07 13:36:32 [error] 8#0: *47 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.0.1, server: , request: "GET /set?x=4&y=5 HTTP/1.1", upstream: "fastcgi://192.168.0.2:9000", host: "127.0.0.1"
2021/12/07 13:36:45 [error] 8#0: *47 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.0.1, server: , request: "GET /set?x=4&y=5 HTTP/1.1", upstream: "fastcgi://192.168.0.2:9000", host: "127.0.0.1"
2021/12/07 13:37:19 [error] 7#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.16.1, server: , request: "GET /set?x=4&y=5 HTTP/1.1", upstream: "fastcgi://192.168.16.2:9000", host: "127.0.0.1"
2021/12/07 13:37:21 [error] 7#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.16.1, server: , request: "GET /set?x=4&y=5 HTTP/1.1", upstream: "fastcgi://192.168.16.2:9000", host: "127.0.0.1"
2021/12/07 13:37:25 [error] 7#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.16.1, server: , request: "GET /get?x=4&y=5 HTTP/1.1", upstream: "fastcgi://192.168.16.2:9000", host: "127.0.0.1"
2021/12/07 13:37:33 [error] 7#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.16.1, server: , request: "GET /set?x=4&y=5 HTTP/1.1", upstream: "fastcgi://192.168.16.2:9000", host: "127.0.0.1"
2021/12/07 13:37:47 [error] 7#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.16.1, server: , request: "GET /set/index.php?x=4&y=5 HTTP/1.1", upstream: "fastcgi://192.168.16.2:9000", host: "127.0.0.1"
2021/12/07 13:37:49 [error] 7#0: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.16.1, server: , request: "GET /set/index.php?x=4&y=5 HTTP/1.1", upstream: "fastcgi://192.168.16.2:9000", host: "127.0.0.1"
2021/12/07 13:42:21 [error] 7#0: *9 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.16.1, server: , request: "GET /set/index.php?x=4&y=5 HTTP/1.1", upstream: "fastcgi://192.168.16.2:9000", host: "127.0.0.1"
2021/12/07 13:42:27 [error] 7#0: *9 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 192.168.16.1, server: , request: "GET /get/index.php HTTP/1.1", upstream: "fastcgi://192.168.16.2:9000", host: "127.0.0.1"
